id,title,url,province,ISO8601,organization,people
2762435,น้ำทะเลหนุน,https://www.thairath.co.th/news/local/central/2762435,สมุทรปราการ,2024-02-12,,
2762440,ระวังน้ำทะเลหนุนสูง หลายจังหวัดจมบาดาล!   คลื่นลมอ่าวไทยแรง ภาคใต้มีฝนตกหนัก,https://www.thairath.co.th/news/local/2762440,กรุงเทพมหานคร | นครปฐม | นนทบุรี | สมุทรปราการ | สมุทรสงคราม | สมุทรสาคร,2024-02-12,สํานักงานทรัพยากรน้ําแห่งชาติ,
2762440,ระวังน้ำทะเลหนุนสูง หลายจังหวัดจมบาดาล!   คลื่นลมอ่าวไทยแรง ภาคใต้มีฝนตกหนัก,https://www.thairath.co.th/news/local/2762440,กรุงเทพมหานคร | นครปฐม | นนทบุรี | สมุทรปราการ | สมุทรสงคราม | สมุทรสาคร,2024-02-12,กรมอุต,
2762440,ระวังน้ำทะเลหนุนสูง หลายจังหวัดจมบาดาล!   คลื่นลมอ่าวไทยแรง ภาคใต้มีฝนตกหนัก,https://www.thairath.co.th/news/local/2762440,กรุงเทพมหานคร | นครปฐม | นนทบุรี | สมุทรปราการ | สมุทรสงคราม | สมุทรสาคร,2024-02-12,สํานักงานทรัพยากรน้ําแห่งชาติ,
2770966,ฝนถล่มสัตหีบจมบาดาล ถนนสุขุมวิทรถติด   เหลือวิ่งเลนเดียว,https://www.thairath.co.th/news/local/east/2770966,ชลบุรี,2024-03-16,เทศบาล,
2770966,ฝนถล่มสัตหีบจมบาดาล ถนนสุขุมวิทรถติด   เหลือวิ่งเลนเดียว,https://www.thairath.co.th/news/local/east/2770966,ชลบุรี,2024-03-16,เทศบาลตําบลเขตรอุดม,
2794341,เปิดแผนป้องกันน้ำท่วม 67   รับน้ำฝนน้ำหนุน-กทม.แจ้งเหตุเรียลไทม์,https://www.thairath.co.th/news/local/bangkok/2794341,,2024-06-19,สํานักการระบายน้ํา(สนน.,นายสุราษฎร์ เจริญชัยสกุล
2794341,เปิดแผนป้องกันน้ำท่วม 67   รับน้ำฝนน้ำหนุน-กทม.แจ้งเหตุเรียลไทม์,https://www.thairath.co.th/news/local/bangkok/2794341,,2024-06-19,สนน.สํานักงานเขต,นายสุราษฎร์ เจริญชัยสกุล
2794341,เปิดแผนป้องกันน้ำท่วม 67   รับน้ำฝนน้ำหนุน-กทม.แจ้งเหตุเรียลไทม์,https://www.thairath.co.th/news/local/bangkok/2794341,,2024-06-19,สํานักงานเขต,นายสุราษฎร์ เจริญชัยสกุล
2797251,"บ้านพัง-รถจม ""เครื่องบิน"" จอดไม่ได้ ฝนถล่ม ""ภูเก็ต""   (คลิป)",https://www.thairath.co.th/news/local/south/2797251,พังงา | ภูเก็ต,2024-07-01,ป้องกันและบรรเทาสาธารณภัยจังหวัดภูเก็ตปภ.,นาย โสภณ ทองไสย
2802827,"วัดริมแม่น้ำเจ้าพระยา ยกโบสถ์ 1,000 ตัน หนีน้ำท่วม",https://www.thairath.co.th/news/local/central/2802827,ชัยนาท,2024-07-24,วัดเทพหิรัณย์,พระครูมงคลกิจโกศล หลวงปู่ฤาษีตาไฟ | นายไตรศักดิ์ ปัทมรัฐจิรนนท์ | พระ อธิ การธงชัย ขันติโก | นายเอกชัย มิกทา
2803780,"โกลาหล น้ำท่วมฟาร์มหมูที่ตราด ย้ายหมู 1,200   ตัวหนีตาย (คลิป)",https://www.thairath.co.th/news/local/east/2803780,,2024-07-28,,
2803892,น้ำท่วมฟาร์มที่บ่อไร่ ไก่เนื้อจมน้ำตาย 3 หมื่นตัว   เจ้าของเจ๊งยับ,https://www.thairath.co.th/news/local/east/2803892,ตราด,2024-07-28,ปศุสัตว์จังหวัด,นาย พิภพ | นาย พิภพ
2804117,น้ำป่าเขาใหญ่ทะลักท่วมหมู่บ้าน อ.นาดี   อพยพโกลาหลกลางดึก คน สัตว์เลี้ยง,https://www.thairath.co.th/news/local/central/2804117,ปราจีนบุรี,2024-07-30,จากปราจีนบุรีปภ.หน่วยกู้ภัยมูลนิธิสัจจพุทธธรรมแห่งประเทศไทยกบินทร์บุรี,
2804278,ปราจีนบุรีอ่วม รับน้ำทั้งเขาใหญ่-ทับลาน ท่วมแล้ว 3   อำเภอ,https://www.thairath.co.th/news/local/central/2804278,ปราจีนบุรี,2024-07-30,มูลนิธิสัจจพุทธธรรมแห่งประเทศไทยมูลนิธิร่วมกตัญญู,นายสมยศ สง่างาม
2804387,แควหนุมานล้น ท่วมแล้ว ตลาดเก่ากบินทร์บุรี เด็กๆ   ลุยน้ำไปเรียน,https://www.thairath.co.th/news/local/central/2804387,ปราจีนบุรี | สระแก้ว,2024-07-31,,นายพรประเสริฐ พินิจชอบ
2804616,กาญจน์ระทม กระชังเจ๊งยับ แควน้อยล้น! ปลาน็อกตาย   นํ้าป่าทับลาน บ่าจมกบินทร์,https://www.thairath.co.th/news/local/central/2804616,แม่ฮ่องสอน,2024-08-01,อบต.ห้วยผา,นายศราวุธ ทัง | นายพงษ์
2805620,ผอ.เขื่อนขุนด่านฯ   ยันน้ำท่วมรีสอร์ต มาจากน้ำป่าเขาใหญ่ 220 ล้าน   ลบ.ม.,https://www.thairath.co.th/news/local/central/2805620,,2024-08-05,เขื่อนขุนด่านฯ,นายจักราวุธ สุนทรวิภาต | นายจักราวุธ
2805620,ผอ.เขื่อนขุนด่านฯ   ยันน้ำท่วมรีสอร์ต มาจากน้ำป่าเขาใหญ่ 220 ล้าน   ลบ.ม.,https://www.thairath.co.th/news/local/central/2805620,,2024-08-05,เขื่อนขุนด่านปราการชล,นายจักราวุธ สุนทรวิภาต | นายจักราวุธ
2805620,ผอ.เขื่อนขุนด่านฯ   ยันน้ำท่วมรีสอร์ต มาจากน้ำป่าเขาใหญ่ 220 ล้าน   ลบ.ม.,https://www.thairath.co.th/news/local/central/2805620,,2024-08-05,โครงการส่งน้ําและบํารุงรักษาขุนด่านปราการชล,นายจักราวุธ สุนทรวิภาต | นายจักราวุธ
2805620,ผอ.เขื่อนขุนด่านฯ   ยันน้ำท่วมรีสอร์ต มาจากน้ำป่าเขาใหญ่ 220 ล้าน   ลบ.ม.,https://www.thairath.co.th/news/local/central/2805620,,2024-08-05,ขุนด่าน,นายจักราวุธ สุนทรวิภาต | นายจักราวุธ
2805738,บึงกาฬ ระดับน้ำโขงสูงสุดรอบปี เศษสวะ ขอนไม้เพียบ   กระทบเดินเรือ,https://www.thairath.co.th/news/local/northeast/2805738,บึงกาฬ | เลย | หนองคาย,2024-08-05,,นายพงศ์เทพ จันทรชิต
2805784,ท่วมรีสอร์ต (คลิป),https://www.thairath.co.th/news/local/central/2805784,,2024-08-06,,
2805786,ผอ.ขุนด่านโต้ปล่อยน้ำท่วม รีสอร์ตจมยับ   โวยใส่ทางการไม่ได้เตือนภัย (คลิป),https://www.thairath.co.th/news/local/2805786,,2024-08-06,.,ธรรมนัส
2805786,ผอ.ขุนด่านโต้ปล่อยน้ำท่วม รีสอร์ตจมยับ   โวยใส่ทางการไม่ได้เตือนภัย (คลิป),https://www.thairath.co.th/news/local/2805786,,2024-08-06,เขื่อนฯ,ธรรมนัส
